"School","Conference","Division"
"Goucher College","Landmark Conference","III"
"Grambling State University","Southwestern Athletic Conf.","I-FCS"
"Grand Canyon University","Western Athletic Conference","II"
"Grand Valley State University","Great Lakes Intercollegiate Athletic Conference","II"
"Green Mountain College","North Atlantic Conference","III"
"Greensboro College","USA South Athletic Conference","III"
"Greenville College","St. Louis Intercollegiate Athletic Conference","III"
"Grinnell College","Midwest Conference","III"
"Grove City College","Presidents' Athletic Conference","III"
"Guilford College","Old Dominion Athletic Conf.","III"
"Gustavus Adolphus College","Minnesota Intercollegiate Athletic Conference","III"
"Gwynedd Mercy University","Colonial States Athletic Conference","III"
"Hamilton College","New England Small College Athletic Conference","III"
"Hamline University","Minnesota Intercollegiate Athletic Conference","III"
"Hampden-Sydney College","Old Dominion Athletic Conf.","III"
"Hampton University","Mid-Eastern Athletic Conf.","I-FCS"
"Hanover College","Heartland Collegiate Athletic Conference","III"
"Hardin-Simmons University","American Southwest Conference","III"
"Harding University","Great American Conference","II"
"Hartwick College","Empire 8","III"
"Harvard University","The Ivy League","I-FCS"
"Haverford College","Centennial Conference","III"
"Hawaii Pacific University","Pacific West Conference","II"
"Heidelberg University","Ohio Athletic Conference","III"
"Henderson State University","Great American Conference","II"
"Hendrix College","Southern Athletic Association","III"
"High Point University","Big South Conference","I"
"Hilbert College","Allegheny Mountain Collegiate Conference","III"
"Hillsdale College","Great Lakes Intercollegiate Athletic Conference","II"
"Hiram College","North Coast Athletic Conference","III"
"Hobart and William Smith Colleges","Liberty League","III"
"Hofstra University","Colonial Athletic Association","I"
"Hollins University","Old Dominion Athletic Conf.","III"
"Holy Family University","Central Atlantic Collegiate Conference","II"
"Holy Names University","Pacific West Conference","II"
"Hood College","Middle Atlantic Conferences","III"
"Hope College","Michigan Intercol. Ath. Assn.","III"
"Houghton College","Empire 8","III"
"Houston Baptist University","Southland Conference","I-FCS"
"Howard Payne University","American Southwest Conference","III"
"Howard University","Mid-Eastern Athletic Conf.","I-FCS"
"Humboldt State University","California Collegiate Athletic Association","II"
"Hunter College","City University of New York Athletic Conference","III"
"Huntingdon College","USA South Athletic Conference","III"
"Husson University","North Atlantic Conference","III"
"Idaho State University","Big Sky Conference","I-FCS"
"Illinois College","Midwest Conference","III"
"Illinois Institute of Technology","Independent","III"
"Illinois State University","Missouri Valley Conference","I-FCS"
"Illinois Wesleyan University","College Conference of Illinois & Wisconsin","III"
"Immaculata University","Colonial States Athletic Conference","III"
"Indiana State University","Missouri Valley Conference","I-FCS"
"Indiana University of Pennsylvania","Pennsylvania State Athletic Conference","II"
"Indiana University-Purdue University Indianapolis","The Summit League","I"
"Indiana University-Purdue University, Fort Wayne","The Summit League","I"
"Indiana University, Bloomington","Big Ten Conference","I-FBS"
"Iona College","Metro Atlantic Athletic Conference","I"
"Iowa State University","Big 12 Conference","I-FBS"
"Iowa Wesleyan University","St. Louis Intercollegiate Athletic Conference","III"
"Ithaca College","Empire 8","III"
"Jackson State University","Southwestern Athletic Conf.","I-FCS"
"Jacksonville State University","Ohio Valley Conference","I-FCS"
"Jacksonville University","ASUN Conference","I-FCS"
"James Madison University","Colonial Athletic Association","I-FCS"
"John Carroll University","Ohio Athletic Conference","III"
"John Jay College of Criminal Justice","City University of New York Athletic Conference","III"
"Johns Hopkins University","Centennial Conference","III"
"Johnson & Wales University (RI)","Great Northeast Athletic Conference","III"
"Johnson C. Smith University","Central Intercollegiate Athletic Association","II"
"Johnson State College","North Atlantic Conference","III"
"Juniata College","Landmark Conference","III"
"Kalamazoo College","Michigan Intercol. Ath. Assn.","III"
"Kansas State University","Big 12 Conference","I-FBS"
"Kean University","New Jersey Athletic Conference","III"
"Keene State College","Little East Conference","III"
"Kennesaw State University","ASUN Conference","I-FCS"
"Kent State University","Mid-American Conference","I-FBS"
"Kentucky State University","Southern Intercol. Ath. Conf.","II"
"Kentucky Wesleyan College","Great Midwest Athletic Conference","II"
"Kenyon College","North Coast Athletic Conference","III"
"Keuka College","North Eastern Athletic Conference","III"
"Keystone College","Colonial States Athletic Conference","III"
"King University","Conference Carolinas","II"
"King's College (Pennsylvania)","Middle Atlantic Conferences","III"
"Knox College","Midwest Conference","III"
"Kutztown University of Pennsylvania","Pennsylvania State Athletic Conference","II"
"La Roche College","Allegheny Mountain Collegiate Conference","III"
"La Salle University","Atlantic 10 Conference","I"
"Lafayette College","Patriot League","I-FCS"
"LaGrange College","USA South Athletic Conference","III"
"Lake Erie College","Great Lakes Intercollegiate Athletic Conference","II"
"Lake Forest College","Midwest Conference","III"
"Lake Superior State University","Great Lakes Intercollegiate Athletic Conference","II"
"Lakeland University","Northern Athletics Collegiate Conference","III"
"Lamar University","Southland Conference","I-FCS"
"Lancaster Bible College","North Eastern Athletic Conference","III"
"Lander University","Peach Belt Conference","II"
"Lane College","Southern Intercol. Ath. Conf.","II"
"Lasell College","Great Northeast Athletic Conference","III"
"Lawrence University","Midwest Conference","III"
"Le Moyne College","Northeast-10 Conference","II"
"Lebanon Valley College","Middle Atlantic Conferences","III"
"Lee University","Gulf South Conference","II"
"Lees-McRae College","Conference Carolinas","II"
"Lehigh University","Patriot League","I-FCS"
"Lehman College","City University of New York Athletic Conference","III"
"LeMoyne-Owen College","Southern Intercol. Ath. Conf.","II"
"Lenoir-Rhyne University","South Atlantic Conference","II"
"Lesley University","New England Collegiate Conference","III"
"LeTourneau University","American Southwest Conference","III"
"Lewis & Clark College","Northwest Conference","III"
"Lewis University","Great Lakes Valley Conference","II"
"Liberty University","Big South Conference","I-FCS"
"Limestone College","Conference Carolinas","II"
"Lincoln Memorial University","South Atlantic Conference","II"
"Lincoln University (Missouri)","Mid-America Intercollegiate Athletics Association","II"
"Lindenwood University","Mid-America Intercollegiate Athletics Association","II"
"Linfield College","Northwest Conference","III"
"Lipscomb University","ASUN Conference","I"
"Livingstone College","Central Intercollegiate Athletic Association","II"
"Lock Haven University of Pennsylvania","Pennsylvania State Athletic Conference","II"
"Long Beach State University","Big West Conference","I"
"Long Island University-Brooklyn Campus","Northeast Conference","I"
"Long Island University/LIU Post","East Coast Conference","II"
"Longwood University","Big South Conference","I"
"Loras College","Iowa Intercol. Athletic Conf.","III"
"Louisiana College","American Southwest Conference","III"
"Louisiana State University","Southeastern Conference","I-FBS"
"Louisiana Tech University","Conference USA","I-FBS"
"Loyola Marymount University","West Coast Conference","I"
"Loyola University Chicago","Missouri Valley Conference","I"
"Loyola University Maryland","Patriot League","I"
"Lubbock Christian University","Heartland Conference","II"
"Luther College","Iowa Intercol. Athletic Conf.","III"
"Lycoming College","Middle Atlantic Conferences","III"
"Lynchburg College","Old Dominion Athletic Conf.","III"
"Lyndon State College","North Atlantic Conference","III"
"Lynn University","Sunshine State Conference","II"
"Macalester College","Minnesota Intercollegiate Athletic Conference","III"
"MacMurray College","St. Louis Intercollegiate Athletic Conference","III"
"Maine Maritime Academy","North Atlantic Conference","III"
"Malone University","Great Midwest Athletic Conference","II"
